,ROW_LOOP,seq_loop_status1.csv
grp_activation_accelerator_Pipeline_VITIS_LOOP_402_1_fu_436,VITIS_LOOP_402_1,upc_loop_status1.csv
grp_bf16_to_float_fu_710,bf16_to_float_loop,upc_loop_status2.csv
grp_bf16_to_float_fu_780,bf16_to_float_loop,upc_loop_status3.csv
grp_activation_accelerator_Pipeline_silu_loop_fu_850,silu_loop,upc_loop_status4.csv
grp_activation_accelerator_Pipeline_rms_loop_0_fu_920,rms_loop_0,upc_loop_status5.csv
grp_activation_accelerator_Pipeline_VITIS_LOOP_251_1_fu_927,VITIS_LOOP_251_1,upc_loop_status6.csv
grp_activation_accelerator_Pipeline_layer_loop_0_fu_998,layer_loop_0,upc_loop_status7.csv
grp_activation_accelerator_Pipeline_layer_loop_1_fu_1005,layer_loop_1,upc_loop_status8.csv
grp_activation_accelerator_Pipeline_layer_loop_2_fu_1013,layer_loop_2,upc_loop_status9.csv
grp_float_safe_softmax_fu_1085.grp_float_safe_softmax_Pipeline_softmax_loop_0_fu_104,softmax_loop_0,upc_loop_status10.csv
grp_float_safe_softmax_fu_1085.grp_float_safe_softmax_Pipeline_softmax_loop_1_fu_112,softmax_loop_1,upc_loop_status11.csv
grp_float_safe_softmax_fu_1085.grp_float_safe_softmax_Pipeline_softmax_loop_2_fu_121,softmax_loop_2,upc_loop_status12.csv
grp_activation_accelerator_Pipeline_add_loop_fu_1155,add_loop,upc_loop_status13.csv
grp_activation_accelerator_Pipeline_add_loop1_fu_1227,add_loop,upc_loop_status14.csv
grp_activation_accelerator_Pipeline_VITIS_LOOP_465_5_fu_1299,VITIS_LOOP_465_5,upc_loop_status15.csv
